product,price,rating,units_sold,in_stock,category
Tablet,415.26964268894307,1.3724110712235968,547.0,Yes,Electronics
Tablet,1483.840617001391,4.5888630318133075,,Yes,Electronics
Phone,1569.4130875104154,4.601672228653322,827.0,No,Electronics
Watch,1210.2989556250932,,930.0,Yes,Accessories
Watch,1587.7409239182098,2.3561191641948027,417.0,Yes,Accessories
Watch,1088.8320734559034,2.3968382984506436,534.0,No,Electronics
Watch,,3.9038227154809575,837.0,Yes,Accessories
Tablet,969.5738330453893,4.588441039810308,,Yes,Accessories
Phone,245.75442813937133,4.548345697060469,912.0,No,Accessories
Phone,394.204568587948,4.1195021834304955,834.0,Yes,Accessories
Tablet,256.57253423612167,3.568126584617151,45.0,Yes,Accessories
Phone,,1.3365598599801953,694.0,Yes,Electronics
Tablet,765.840765937388,1.646514856378455,,No,Electronics
Watch,,,330.0,No,Electronics
Tablet,1833.6196530669674,,785.0,No,Accessories
Watch,,1.0367882064665186,521.0,Yes,Accessories
Watch,,1.4058861714641284,409.0,Yes,Electronics
Laptop,,3.6540070764322232,663.0,No,Accessories
Tablet,611.8366978849205,1.0202463353848747,981.0,Yes,Electronics
Laptop,338.56383769182736,,892.0,Yes,Electronics
Tablet,721.5526152447825,,480.0,No,Electronics
Tablet,490.19831705720793,3.767580790770773,,No,Accessories
Laptop,1873.4557742166314,3.607845038010402,101.0,Yes,Accessories
Laptop,1654.6166832159506,1.8970772378422391,363.0,Yes,Electronics
Tablet,1340.1267617187623,3.8487168853901434,843.0,Yes,Electronics
Phone,1768.6290623378918,1.9489963499872003,809.0,No,Electronics
Watch,1646.609738418406,2.301598792637071,736.0,No,Electronics
Laptop,,3.9859656204720966,968.0,No,Accessories
Watch,1806.60619728196,3.5985315961888587,863.0,No,Accessories
Phone,,4.396893641976712,,Yes,Electronics
Phone,1653.3922792953126,3.6304515692013735,674.0,No,Electronics
Phone,1812.9643398622877,3.2732344133418865,707.0,No,Accessories
Laptop,772.406254949355,1.37469907131237,584.0,No,Accessories
Phone,,,,No,Electronics
Laptop,610.283292575495,2.060809470726902,134.0,No,Electronics
Phone,968.7940195272614,1.9759585735163343,159.0,Yes,Electronics
Watch,1672.4265786604876,4.892042219009783,323.0,Yes,Accessories
Watch,1749.3150498614182,2.5723908986670416,579.0,No,Accessories
Tablet,212.51383495614326,4.568186220708453,351.0,Yes,Accessories
Watch,1119.3451446396184,3.5245545039890516,314.0,No,Electronics
Tablet,951.3398056678022,4.179245214166594,701.0,No,Electronics
Watch,599.7940588473144,3.0105483724207684,691.0,Yes,Accessories
Laptop,415.75766120062906,3.3076155385054364,847.0,Yes,Accessories
Watch,,,792.0,No,Electronics
Tablet,1897.2374670425345,,63.0,No,Accessories
Tablet,781.7652776373594,,453.0,No,Accessories
Phone,1133.823119138059,2.123089449763423,622.0,Yes,Electronics
Laptop,1465.4341260113201,,273.0,No,Accessories
Watch,854.5332842827291,3.5818891836286713,62.0,No,Electronics
Phone,1949.2077488977293,1.7084427176281958,581.0,No,Electronics
Watch,1932.4051308958003,4.761834337411657,629.0,Yes,Electronics
Watch,653.2081324856555,4.8157143080103495,,No,Electronics
Phone,1095.0473106062939,4.659457560881794,112.0,No,Electronics
Phone,741.5809576701854,2.4806348010217776,205.0,Yes,Electronics
Phone,,1.0618264661154697,783.0,No,Electronics
Phone,266.396505238159,4.713274250350901,886.0,No,Accessories
Phone,1297.2158011638144,,893.0,Yes,Electronics
Watch,1104.8222418119508,4.866619276174678,359.0,No,Electronics
Phone,292.66175224998085,4.854479908357011,,Yes,Accessories
Laptop,701.5636356259006,4.41203782186944,876.0,Yes,Accessories
